deputado_nome,131591-278,131591-284,17338-302,17338-321,17338-382,17338-414,260404-97,271219-134,274311-65,28376-392,290677-69,290677-77,293027-204,302638-257,302638-290,302638-314,304008-173,325847-119,325847-63,332451-149,332451-164,343930-201,357094-119,357094-124,357094-132,357094-141,36162-204,366851-147,366851-186,366851-189,366851-196,377011-249,377011-285,394079-276,401376-366,401376-383,412854-79,412854-83,412854-86,412854-89,412854-92,412854-95,435878-82,43617-209,436536-87,44196-72,463268-65,463268-73,473496-72,473496-83,476031-112,476031-81,476031-93,479328-65,483808-155,483808-165,483906-115,484191-156,485274-102,485274-115,485274-124,485275-54,485758-129,485758-146,485758-63,485758-72,485758-83,487868-77,487868-96,487966-81,488582-8,488607-71,490116-261,490375-123,490375-130,490375-134,490375-87,490387-69,491872-58,491872-61,491872-68,491963-8,491974-6,494004-52,495378-103,495378-111,495378-116,495378-119,495378-122,495378-50,495378-59,495378-76,496290-59,496290-68,496725-130,497188-8,499323-47,499323-56,499323-62,500056-109,500056-133,500056-70,500056-82,500056-94,500079-157,500380-7,501560-55,501560-65,507762-6,507965-120,508967-7,511029-60,512308-100,512308-103,513172-64,513496-108,513496-115,513496-139,513496-146,513496-149,513496-153,513496-157,513496-160,513496-171,513496-175,513496-178,513496-182,513496-193,513496-227,513496-249,513496-251,513496-259,513496-260,513496-261,513496-262,513496-263,513496-95,513512-66,513514-58,514832-10,520245-145,520245-150,522343-74,522343-79,524645-65,524645-71,524645-81,525239-39,527704-62,527704-65,527704-79,527723-74,527728-70,528165-59,528165-65,529011-53,529884-61,531883-4,533505-79,533535-56,535959-48,535959-57,535959-74,535959-83,537339-16,537997-4,538366-67,540142-74,540142-95,542431-47,542431-56,542431-70,54307-116,54307-120,54307-159,543448-35,543448-57,543448-90,544176-6,544274-210,544463-71,544573-6,545925-30,545925-61,549909-28,551712-117,551712-119,552295-75,552689-39,553112-63,553168-105,553474-9,554412-9,555727-52,555727-77,555727-80,555993-7,556261-124,556261-26,556261-43,556261-57,556332-28,556590-9,559036-102,559036-105,559036-112,559036-115,559036-118,559036-128,559036-131,559036-134,559036-93,559275-42,559275-63,559465-38,559706-41,561593-4,561594-3,562466-47,562615-106,562615-129,562615-141,562615-154,562615-184,562615-213,562615-220,562615-233,562615-244,562615-256,562615-268,562615-281,562615-291,562615-327,562615-39,562615-64,562615-78,562615-93,564113-45,564453-52,564520-44,564521-63,564522-34,564525-125,564525-133,564525-136,564525-142,564525-145,564525-92,564547-55,566047-41,566744-6,566891-38,566891-57,566891-66,567197-86,567197-98,568421-21,568421-27,568421-44,568515-5,569181-5,569182-6,571564-6,573508-47,573508-49,573508-51,576895-6,577881-6,580163-34,580163-51,580163-59,580951-61,581700-32,581700-34,581700-35,58213-100,58213-106,582605-6,583408-9,584020-124,584020-132,584020-34,584020-44,584020-50,584020-60,584020-79,584020-99,584279-5,586251-72,586251-93,586411-57,586949-8,587916-56,587916-62,590058-41,590335-46,592935-115,592935-148,592935-162,592935-52,592935-88,593650-5,597748-5,599142-30,599142-54,599142-64,599380-7,600255-111,600363-100,600363-125,600363-37,600363-56,600363-66,602633-63,602633-84,602633-89,602714-46,602714-56,604604-4,605324-57,605324-63,605327-66,605330-62,605330-66,605332-34,605333-45,605986-4,606381-11,606381-24,606381-31,609196-42,609198-45,611593-55,615815-56,615815-58,617737-73,617737-91,617857-8,619236-45,620901-33,621806-43,621806-52,623330-47,786713-26
Alberto Filho,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,1.0,0.0,,,,1.0,,0.0,,,,,,0.0,1.0,0.0,,,,,1.0,,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,,1.0,,,,1.0,1.0,0.0,0.0,0.0,1.0,,1.0,,,,,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,,0.0,0.0,1.0,0.0,,1.0,,,0.0,1.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Alberto Mourão,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,0.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,0.0,,,,,,,1.0,1.0,0.0,,1.0,,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,0.0,,,,,1.0,,,0.0,,,0.0,,,,,,,,,0.0,,1.0,,1.0,0.0,0.0,1.0,,,,,,,,,,,,1.0,1.0,0.0,,,0.0,0.0,1.0,,,,,0.0,,,,0.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alceu Moreira,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,0.0,,1.0,1.0,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,0.0,,0.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,,,,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,,,0.0,,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,0.0,,0.0,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,1.0,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,0.0,1.0,0.0,1.0,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,1.0,1.0,0.0,,,,0.0,1.0,,,0.0,,0.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,,0.0,,1.0,1.0,,0.0,,1.0,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,0.0,1.0,,1.0,1.0,,,0.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0
Aldo Rebelo,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,1.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,,1.0,,,0.0,0.0,,1.0,1.0,,,,,,,,,,,,,,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Molon,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.0,,,,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,,1.0,0.0,0.0,0.0,,,1.0,0.0,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,0.0,1.0,0.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,,0.0,,0.0,,1.0,,,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,,1.0,,,,0.0,1.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,1.0,1.0,0.0,,,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,,,0.0,,0.0,,1.0,0.0,,,,0.0,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,1.0,,,,,0.0,,,0.0,,,,1.0,1.0,0.0,0.0,,,1.0,,,,,,,1.0,0.0,,0.0,,1.0,1.0,,1.0,1.0,1.0,,0.0,0.0,,0.0,0.0,1.0,0.0,,1.0,1.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,,0.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,0.0,1.0,,0.0,1.0,1.0,,,,,1.0,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Alex Canziani,,,1.0,,0.0,0.0,,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,0.0,,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,0.0,0.0,,1.0,0.0,1.0,,,0.0,,,,,,,0.0,,,1.0,1.0,0.0,1.0,,,,0.0,,0.0,0.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,,1.0,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0,1.0,,,,,,,,0.0,,1.0,1.0,0.0,,0.0,,,,,1.0,,,1.0,0.0,0.0,,0.0,1.0,,,,,,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,,1.0,,,1.0,,0.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,,,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,,1.0,1.0,0.0,1.0,1.0,,0.0,,,,0.0,0.0,1.0,,0.0,,,,1.0,,1.0,,1.0,,1.0,0.0,,0.0,1.0,1.0,0.0,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,,1.0,,,1.0,1.0,0.0,1.0,0.0,,0.0,,,1.0,1.0,0.0,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,0.0,,,1.0,,,,0.0,1.0,,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,,1.0
Alexandre Cardoso,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Leite,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,0.0,,1.0,1.0,,,,,0.0,,,,,1.0,,0.0,1.0,,0.0,0.0,1.0,0.0,,,1.0,1.0,0.0,,1.0,,0.0,0.0,,0.0,1.0,,,0.0,1.0,1.0,,0.0,,,1.0,,0.0,,,,1.0,0.0,,,1.0,0.0,1.0,,1.0,1.0,1.0,,,,,,0.0,0.0,1.0,,,0.0,0.0,1.0,,,0.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,0.0,,0.0,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,0.0,,1.0,,1.0,1.0,1.0,,,,,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,0.0,,1.0,0.0,,1.0,0.0,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,0.0,1.0,1.0,0.0,,1.0,1.0,,1.0,0.0,1.0,,0.0,1.0,1.0,,0.0,,,1.0,0.0,1.0,0.0,,0.0,1.0,,1.0,1.0,,,1.0,1.0,0.0,,,1.0,0.0,1.0,1.0,,0.0,1.0,,,1.0,1.0,1.0,,,1.0,0.0,,1.0,1.0,0.0,1.0
Alexandre Roso,,1.0,,,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,0.0,1.0,1.0,,1.0,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,0.0,,,0.0,,,,,,,,1.0,,,0.0,,,,,,0.0,0.0,1.0,,,,,,,,,0.0,0.0,1.0,,,1.0,,0.0,0.0,0.0,1.0,,,,1.0,,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.0,,,0.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,1.0,0.0,,,,,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,,1.0,0.0,1.0,,,,0.0,,,1.0,0.0,1.0,0.0,,,1.0,1.0,0.0,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,,,0.0,1.0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,,,1.0,0.0,,,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0
Alexandre Santos,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,,1.0,,0.0,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,,0.0,0.0,1.0,,,0.0,1.0,,1.0,1.0,1.0,,,,0.0,,,0.0,1.0,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,0.0,1.0,,,0.0,0.0,1.0,1.0,,,1.0,1.0,,,,0.0,0.0,,,0.0,1.0,,0.0,,0.0,1.0,1.0,,,,,,,,0.0,0.0,,1.0,,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,,,1.0,1.0,,1.0,1.0,,,1.0,,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,1.0,0.0,0.0,,1.0,,,0.0,,,,0.0,1.0,,,,0.0,,,1.0,1.0,1.0,,,0.0,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,,,1.0,0.0,,1.0,,,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,,1.0,,0.0,,,0.0,0.0,,,1.0,,,0.0,1.0,,,0.0,0.0,,,,1.0,,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,1.0,0.0,1.0,1.0,0.0,,1.0,,0.0,,,1.0,,1.0,,,1.0,1.0,,,,,0.0,,0.0,,,,,,,,0.0,,,,1.0,1.0,,1.0,0.0,0.0,1.0,,0.0,,1.0,0.0,
Alexandre Silveira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,1.0,,,,,,,0.0,,,,
Alexandre Toledo,,,,,,,,1.0,,1.0,,,1.0,0.0,1.0,,0.0,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,0.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,0.0,,1.0,,1.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,1.0,,0.0,1.0,,1.0,,,1.0,,1.0,1.0,,0.0,,1.0,1.0,1.0,,,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,1.0,1.0,0.0,1.0,,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,,,1.0,1.0,1.0,,,,,0.0,,,,1.0
Alfredo Kaefer,,,1.0,1.0,0.0,,1.0,0.0,1.0,,1.0,,1.0,,0.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,1.0,1.0,,,0.0,,,,,1.0,0.0,1.0,,,,,,,1.0,,,,,0.0,1.0,1.0,,0.0,,,,,,1.0,0.0,,1.0,,,0.0,,0.0,1.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,1.0,1.0,1.0,,,,,1.0,0.0,0.0,1.0,,,,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,,1.0,0.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,0.0,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,1.0,,,1.0,,,0.0,1.0,,,1.0,0.0,,,,1.0,,,,,,,,,,0.0,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,1.0,,0.0,,,0.0,1.0,1.0,0.0,,1.0,,,,,1.0,1.0,,,1.0,1.0,0.0,,1.0,0.0,,1.0,,1.0,1.0,1.0,,,0.0,,1.0,0.0,,,0.0,,,0.0,0.0,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,0.0,1.0,,,,0.0,1.0,1.0,,1.0,,,,,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,,,,1.0,,,1.0,0.0,0.0,,0.0,1.0,,,,,0.0,
Alfredo Sirkis,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,1.0,,0.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,1.0,0.0,1.0,1.0,,,,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,0.0,0.0,,0.0,1.0,1.0,,,1.0,1.0,,,0.0,,1.0,1.0,,,,,,,,1.0,,0.0,1.0,1.0,1.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,,,,,1.0,1.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,,,,,,,1.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,,1.0,,,1.0,,,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,,,,0.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,0.0,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,,1.0,,,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,,0.0,1.0,,1.0,1.0,,,,0.0,1.0,,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,,,,,1.0,0.0,1.0,,1.0,,,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,0.0,,1.0,,1.0
